scenario,n,total,accepted,coverage,selective_risk,risk_low,risk_high,base_failure_rate
high_noise_weak_quartic,8,1800,32,0.017777777777777778,0.875,0.7193135021517204,0.950299461555257,0.9861111111111112
high_noise_weak_quartic,12,1800,0,0.0,,nan,nan,0.9816666666666667
high_noise_weak_quartic,20,1800,0,0.0,,nan,nan,0.95
low_noise_strong_quartic,8,1800,1173,0.6516666666666666,0.9991474850809889,0.9951867071819425,0.9998494982003285,0.9994444444444445
low_noise_strong_quartic,12,1800,1562,0.8677777777777778,1.0,0.9975466228512512,0.9999999999999999,0.9988888888888889
low_noise_strong_quartic,20,1800,1725,0.9583333333333334,0.998840579710145,0.9957822519251484,0.9996819941920206,0.9983333333333333
low_noise_weak_quartic,8,1800,692,0.3844444444444444,0.3569364161849711,0.3221196714427199,0.39333281084635285,0.5438888888888889
low_noise_weak_quartic,12,1800,1050,0.5833333333333334,0.15333333333333332,0.13280618332702432,0.1763879118766571,0.315
low_noise_weak_quartic,20,1800,1348,0.7488888888888889,0.06379821958456973,0.05195082675336741,0.07812476790210113,0.21444444444444444
trajectory_nonstationary,8,600,14,0.023333333333333334,0.9285714285714286,0.6853073044604219,0.9872781138877085,0.9833333333333333
trajectory_nonstationary,12,600,2,0.0033333333333333335,1.0,0.34237195288961925,1.0,0.9683333333333334
trajectory_nonstationary,20,600,0,0.0,,nan,nan,0.95
